index,kx_cart_2pi_over_alat,ky_cart_2pi_over_alat,kz_cart_2pi_over_alat,band_1_ev,band_2_ev,band_3_ev,band_4_ev,fermi_ev
30,0.625,0.125,0.625,3.7613,5.8707,10.3622,15.7059,7.8018
31,0.5,0.25,0.5,1.7376,6.0426,14.5263,17.7646,7.8018
32,-0.5,-0.5,-0.5,3.2691,3.4705,19.1836,19.1836,7.8018
33,-0.625,-0.375,-0.625,2.6858,4.8512,15.4059,16.6736,7.8018
34,-0.75,-0.25,-0.75,2.8155,7.0881,11.483,14.8566,7.8018
35,-0.875,-0.125,-0.875,3.7269,8.2117,10.0447,13.7707,7.8018
36,0.0,-1.0,0.0,4.9302,6.2414,13.1005,13.4097,7.8018
37,-0.125,-0.875,-0.125,3.7269,8.2117,10.0447,13.7707,7.8018
38,-0.25,-0.75,-0.25,2.8155,7.0881,11.483,14.8566,7.8018
39,-0.375,-0.625,-0.375,2.6858,4.8512,15.4059,16.6736,7.8018
40,-0.375,-0.375,-0.375,0.5064,6.9766,18.6101,18.6101,7.8018
41,-0.5,-0.25,-0.5,1.7376,6.0426,14.5263,17.7646,7.8018
42,-0.625,-0.125,-0.625,3.7613,5.8707,10.3622,15.7059,7.8018
43,-0.75,0.0,-0.75,5.9648,6.4896,7.4341,14.3755,7.8018
44,0.125,-0.875,0.125,3.7269,8.2117,10.0447,13.7707,7.8018
45,0.0,-0.75,0.0,1.7308,10.4183,13.6576,13.8886,7.8018
46,-0.125,-0.625,-0.125,0.5049,11.0548,13.4053,14.7303,7.8018
47,-0.25,-0.5,-0.25,0.0932,8.6717,16.3021,17.0303,7.8018
48,-0.25,-0.25,-0.25,-1.5701,11.2687,18.7018,18.7018,7.8018
49,-0.375,-0.125,-0.375,-0.5974,10.0697,14.4266,19.5556,7.8018
50,-0.5,0.0,-0.5,1.1914,9.0794,10.5765,17.2785,7.8018
51,-0.625,0.125,-0.625,3.7613,5.8707,10.3622,15.7059,7.8018
52,0.25,-0.75,0.25,2.8155,7.0881,11.483,14.8566,7.8018
53,0.125,-0.625,0.125,0.5049,11.0548,13.4053,14.7303,7.8018
54,0.0,-0.5,0.0,-1.0136,15.3153,15.3266,15.3266,7.8018
55,-0.125,-0.375,-0.125,-1.7096,13.1258,16.6493,18.1733,7.8018
56,-0.125,-0.125,-0.125,-2.8306,16.1289,19.4677,19.4677,7.8018
57,-0.25,0.0,-0.25,-2.1289,14.2719,15.501,21.5185,7.8018
58,-0.375,0.125,-0.375,-0.5974,10.0697,14.4266,19.5556,7.8018
59,-0.5,0.25,-0.5,1.7376,6.0426,14.5263,17.7646,7.8018
60,0.375,-0.625,0.375,2.6858,4.8512,15.4059,16.6736,7.8018
61,0.25,-0.5,0.25,0.0932,8.6717,16.3021,17.0303,7.8018
62,0.125,-0.375,0.125,-1.7096,13.1258,16.6493,18.1733,7.8018
63,0.0,-0.25,0.0,-2.6899,17.7115,17.7115,17.9822,7.8018
64,-0.125,-0.125,0.125,-2.8306,16.1289,19.4677,19.4677,7.8018
65,-0.25,0.0,0.0,-2.6899,17.7115,17.7115,17.9822,7.8018
66,-0.375,0.125,-0.125,-1.7096,13.1258,16.6493,18.1733,7.8018
67,-0.5,0.25,-0.25,0.0932,8.6717,16.3021,17.0303,7.8018
68,0.375,-0.625,0.625,2.6858,4.8512,15.4059,16.6736,7.8018
69,0.25,-0.5,0.5,1.7376,6.0426,14.5263,17.7646,7.8018
70,0.125,-0.375,0.375,-0.5974,10.0697,14.4266,19.5556,7.8018
71,0.0,-0.25,0.25,-2.1289,14.2719,15.501,21.5185,7.8018
72,0.0,0.0,0.25,-2.6899,17.7115,17.7115,17.9822,7.8018
73,-0.125,0.125,0.125,-2.8306,16.1289,19.4677,19.4677,7.8018
74,-0.25,0.25,0.0,-2.1289,14.2719,15.501,21.5185,7.8018
75,-0.375,0.375,-0.125,-0.5974,10.0697,14.4266,19.5556,7.8018
76,0.5,-0.5,0.75,1.7376,6.0426,14.5263,17.7646,7.8018
77,0.375,-0.375,0.625,2.6858,4.8512,15.4059,16.6736,7.8018
78,0.25,-0.25,0.5,0.0932,8.6717,16.3021,17.0303,7.8018
79,0.125,-0.125,0.375,-1.7096,13.1258,16.6493,18.1733,7.8018
80,0.125,0.125,0.375,-1.7096,13.1258,16.6493,18.1733,7.8018
81,0.0,0.25,0.25,-2.1289,14.2719,15.501,21.5185,7.8018
82,-0.125,0.375,0.125,-1.7096,13.1258,16.6493,18.1733,7.8018
83,-0.25,0.5,0.0,-0.4592,11.6813,13.074,16.5866,7.8018
84,0.625,-0.375,0.875,1.6,7.976,12.4019,14.4547,7.8018
85,0.5,-0.25,0.75,4.312,4.5595,12.8025,13.2583,7.8018
86,0.375,-0.125,0.625,1.6,7.976,12.4019,14.4547,7.8018
87,0.25,0.0,0.5,-0.4592,11.6813,13.074,16.5866,7.8018
88,0.25,0.25,0.5,0.0932,8.6717,16.3021,17.0303,7.8018
89,0.125,0.375,0.375,-0.5974,10.0697,14.4266,19.5556,7.8018
90,0.0,0.5,0.25,-0.4592,11.6813,13.074,16.5866,7.8018
91,-0.125,0.625,0.125,0.5049,11.0548,13.4053,14.7303,7.8018
92,0.75,-0.25,1.0,2.2742,10.121,10.8323,11.7088,7.8018
93,0.625,-0.125,0.875,4.7903,6.9156,9.2918,11.4448,7.8018
94,0.5,0.0,0.75,3.8916,7.5205,8.9825,12.5483,7.8018
95,0.375,0.125,0.625,1.6,7.976,12.4019,14.4547,7.8018
96,-0.625,-0.625,-0.375,2.6858,4.8512,15.4059,16.6736,7.8018
97,-0.75,-0.5,-0.5,1.7376,6.0426,14.5263,17.7646,7.8018
98,-0.875,-0.375,-0.625,1.6,7.976,12.4019,14.4547,7.8018
99,-1.0,-0.25,-0.75,2.2742,10.121,10.8323,11.7088,7.8018
100,-0.125,-1.125,0.125,3.7269,8.2117,10.0447,13.7707,7.8018
101,-0.25,-1.0,0.0,5.4472,6.7821,9.6005,11.0981,7.8018
102,-0.375,-0.875,-0.125,4.7903,6.9156,9.2918,11.4448,7.8018
103,-0.5,-0.75,-0.25,4.312,4.5595,12.8025,13.2583,7.8018
104,-0.5,-0.5,-0.25,1.7376,6.0426,14.5263,17.7646,7.8018
105,-0.625,-0.375,-0.375,2.6858,4.8512,15.4059,16.6736,7.8018
106,-0.75,-0.25,-0.5,4.312,4.5595,12.8025,13.2583,7.8018
107,-0.875,-0.125,-0.625,4.7903,6.9156,9.2918,11.4448,7.8018
108,0.0,-1.0,0.25,5.4472,6.7821,9.6005,11.0981,7.8018
109,-0.125,-0.875,0.125,3.7269,8.2117,10.0447,13.7707,7.8018
110,-0.25,-0.75,0.0,2.2742,10.121,10.8323,11.7088,7.8018
111,-0.375,-0.625,-0.125,1.6,7.976,12.4019,14.4547,7.8018
112,-0.375,-0.375,-0.125,-0.5974,10.0697,14.4266,19.5556,7.8018
