energy_relative_fermi_ev,energy_absolute_ev,dos_states_per_ev_per_cell
-9.910000000000045,-2.1082000000000445,0.13095597944564275
-9.900000000000045,-2.0982000000000447,0.1309770311639614
-9.890000000000045,-2.088200000000045,0.13070999513580261
-9.880000000000045,-2.078200000000045,0.13020678746679848
-9.870000000000045,-2.0682000000000453,0.12952684930301692
-9.860000000000046,-2.0582000000000455,0.12873618890710675
-9.850000000000046,-2.0482000000000458,0.12790624868586822
-9.840000000000046,-2.038200000000046,0.1271126169813613
-9.830000000000046,-2.028200000000046,0.12643360831741926
-9.820000000000046,-2.0182000000000464,0.1259487391216737
-9.810000000000047,-2.0082000000000466,0.1257371286666224
-9.800000000000047,-1.9982000000000468,0.12587585705759627
-9.790000000000047,-1.988200000000047,0.12643831352262488
-9.780000000000047,-1.9782000000000473,0.12749256902377243
-9.770000000000048,-1.9682000000000475,0.12909980731522094
-9.760000000000048,-1.9582000000000477,0.13131284802963564
-9.750000000000048,-1.948200000000048,0.13417479419353148
-9.740000000000048,-1.938200000000048,0.13771783476816243
-9.730000000000048,-1.9282000000000483,0.14196223039932399
-9.720000000000049,-1.9182000000000485,0.1469155075533923
-9.710000000000049,-1.9082000000000487,0.15257188263751212
-9.700000000000049,-1.898200000000049,0.15891193357522432
-9.69000000000005,-1.8882000000000492,0.1659025316714546
-9.68000000000005,-1.8782000000000494,0.1734970415032866
-9.67000000000005,-1.8682000000000496,0.18163579108388578
-9.66000000000005,-1.8582000000000498,0.19024680875563457
-9.65000000000005,-1.84820000000005,0.1992468172868012
-9.64000000000005,-1.8382000000000502,0.20854246960819456
-9.63000000000005,-1.8282000000000505,0.2180318046871734
-9.62000000000005,-1.8182000000000507,0.22760589636767953
-9.610000000000051,-1.8082000000000509,0.2371506627891996
-9.600000000000051,-1.798200000000051,0.24654879942039903
-9.590000000000051,-1.7882000000000513,0.25568179498479243
-9.580000000000052,-1.7782000000000515,0.2644319867809938
-9.570000000000052,-1.7682000000000517,0.2726846102485565
-9.560000000000052,-1.758200000000052,0.280329797207577
-9.550000000000052,-1.7482000000000522,0.28726447806931077
-9.540000000000052,-1.7382000000000524,0.29339414549094894
-9.530000000000053,-1.7282000000000526,0.29863444039358117
-9.520000000000053,-1.7182000000000528,0.3029125258887012
-9.510000000000053,-1.708200000000053,0.30616822032545443
-9.500000000000053,-1.6982000000000532,0.30835486719289956
-9.490000000000054,-1.6882000000000534,0.3094399267659499
-9.480000000000054,-1.6782000000000536,0.3094052819200554
-9.470000000000054,-1.6682000000000539,0.3082472581916214
-9.460000000000054,-1.658200000000054,0.3059763656592582
-9.450000000000054,-1.6482000000000543,0.3026167773048157
-9.440000000000055,-1.6382000000000545,0.2982055649444125
-9.430000000000055,-1.6282000000000547,0.29279171939186704
-9.420000000000055,-1.618200000000055,0.28643498606499856
-9.410000000000055,-1.6082000000000551,0.2792045506513427
-9.400000000000055,-1.5982000000000554,0.27117761164718285
-9.390000000000056,-1.5882000000000556,0.26243787755730574
-9.380000000000056,-1.5782000000000558,0.25307402632713905
-9.370000000000056,-1.568200000000056,0.24317816325359476
-9.360000000000056,-1.5582000000000562,0.2328443113041734
-9.350000000000056,-1.5482000000000564,0.22216696461418628
-9.340000000000057,-1.5382000000000566,0.21123973209893887
-9.330000000000057,-1.5282000000000568,0.20015409379278384
-9.320000000000057,-1.518200000000057,0.18899828789398987
-9.310000000000057,-1.5082000000000573,0.17785634173131606
-9.300000000000058,-1.4982000000000575,0.16680725513989614
-9.290000000000058,-1.4882000000000577,0.15592434018651416
-9.280000000000058,-1.478200000000058,0.1452747169407478
-9.270000000000058,-1.4682000000000581,0.1349189611468076
-9.260000000000058,-1.4582000000000583,0.12491089628346042
-9.250000000000059,-1.4482000000000586,0.11529751965348978
-9.240000000000059,-1.4382000000000588,0.10611904984410316
-9.230000000000059,-1.428200000000059,0.09740908114982712
-9.22000000000006,-1.4182000000000592,0.08919482933741976
-9.21000000000006,-1.4082000000000594,0.08149745243282826
-9.20000000000006,-1.3982000000000596,0.07433242998844196
-9.19000000000006,-1.3882000000000598,0.06770998450372316
-9.18000000000006,-1.37820000000006,0.061635529279114636
-9.17000000000006,-1.3682000000000603,0.05611012793568814
-9.16000000000006,-1.3582000000000605,0.05113095208496202
-9.15000000000006,-1.3482000000000607,0.04669172513889843
-9.140000000000061,-1.338200000000061,0.042783141964290804
-9.130000000000061,-1.328200000000061,0.03939325596409576
-9.120000000000061,-1.3182000000000613,0.03650782716630333
-9.110000000000062,-1.3082000000000615,0.034110626973628835
-9.100000000000062,-1.2982000000000617,0.03218369732844353
-9.090000000000062,-1.288200000000062,0.030707564129223187
-9.080000000000062,-1.2782000000000622,0.0296614067481241
-9.070000000000062,-1.2682000000000624,0.02902318739363989
-9.060000000000063,-1.2582000000000626,0.028769745786839288
-9.050000000000063,-1.2482000000000628,0.02887686612446023
-9.040000000000063,-1.238200000000063,0.02931932453965265
-9.030000000000063,-1.2282000000000632,0.030070926198323408
-9.020000000000064,-1.2182000000000635,0.031104541749206717
-9.010000000000064,-1.2082000000000637,0.032392153050924494
-9.000000000000064,-1.1982000000000639,0.033904917911938226
