energy_absolute_ev,energy_relative_fermi_ev,dos_states_per_ev_per_cell,integrated_states_per_cell
-9.21,-17.012,4.164e-86,1.166e-85
-9.2,-17.002,4.164e-86,1.17e-85
-9.19,-16.991999999999997,4.164e-86,1.174e-85
-9.18,-16.982,4.164e-86,1.178e-85
-9.17,-16.972,4.164e-86,1.183e-85
-9.16,-16.962,4.164e-86,1.187e-85
-9.15,-16.951999999999998,4.164e-86,1.191e-85
-9.14,-16.942,4.164e-86,1.195e-85
-9.13,-16.932000000000002,4.164e-86,1.199e-85
-9.12,-16.921999999999997,4.164e-86,1.203e-85
-9.11,-16.912,4.164e-86,1.208e-85
-9.1,-16.902,4.164e-86,1.212e-85
-9.09,-16.892,4.164e-86,1.216e-85
-9.08,-16.881999999999998,4.164e-86,1.22e-85
-9.07,-16.872,4.164e-86,1.224e-85
-9.06,-16.862000000000002,4.164e-86,1.228e-85
-9.05,-16.852,4.164e-86,1.233e-85
-9.04,-16.842,4.164e-86,1.237e-85
-9.03,-16.832,4.164e-86,1.241e-85
-9.02,-16.822,4.164e-86,1.245e-85
-9.01,-16.811999999999998,4.164e-86,1.249e-85
-9.0,-16.802,4.164e-86,1.253e-85
-8.99,-16.792,4.164e-86,1.258e-85
-8.98,-16.782,4.164e-86,1.262e-85
-8.97,-16.772,4.164e-86,1.266e-85
-8.96,-16.762,4.164e-86,1.27e-85
-8.95,-16.752,4.164e-86,1.274e-85
-8.94,-16.741999999999997,4.164e-86,1.278e-85
-8.93,-16.732,4.164e-86,1.283e-85
-8.92,-16.722,4.164e-86,1.287e-85
-8.91,-16.712,4.164e-86,1.291e-85
-8.9,-16.701999999999998,4.164e-86,1.295e-85
-8.89,-16.692,4.164e-86,1.299e-85
-8.88,-16.682000000000002,4.164e-86,1.303e-85
-8.87,-16.671999999999997,4.164e-86,1.308e-85
-8.86,-16.662,4.164e-86,1.312e-85
-8.85,-16.652,4.164e-86,1.316e-85
-8.84,-16.642,4.164e-86,1.32e-85
-8.83,-16.631999999999998,4.164e-86,1.324e-85
-8.82,-16.622,4.164e-86,1.328e-85
-8.81,-16.612000000000002,4.164e-86,1.333e-85
-8.8,-16.602,4.164e-86,1.337e-85
-8.79,-16.592,4.164e-86,1.341e-85
-8.78,-16.582,4.164e-86,1.345e-85
-8.77,-16.572,4.164e-86,1.349e-85
-8.76,-16.561999999999998,4.164e-86,1.353e-85
-8.75,-16.552,4.164e-86,1.358e-85
-8.74,-16.542,4.164e-86,1.362e-85
-8.73,-16.532,4.164e-86,1.366e-85
-8.72,-16.522,4.164e-86,1.37e-85
-8.71,-16.512,4.164e-86,1.374e-85
-8.7,-16.502,4.164e-86,1.378e-85
-8.69,-16.491999999999997,4.164e-86,1.383e-85
-8.68,-16.482,4.164e-86,1.387e-85
-8.67,-16.472,4.164e-86,1.391e-85
-8.66,-16.462,4.164e-86,1.395e-85
-8.65,-16.451999999999998,4.164e-86,1.399e-85
-8.64,-16.442,4.164e-86,1.403e-85
-8.63,-16.432000000000002,4.164e-86,1.407e-85
-8.62,-16.421999999999997,4.164e-86,1.412e-85
-8.61,-16.412,4.164e-86,1.416e-85
-8.6,-16.402,4.164e-86,1.42e-85
-8.59,-16.392,4.164e-86,1.424e-85
-8.58,-16.381999999999998,4.164e-86,1.428e-85
-8.57,-16.372,4.164e-86,1.432e-85
-8.56,-16.362000000000002,4.164e-86,1.437e-85
-8.55,-16.352,4.164e-86,1.441e-85
-8.54,-16.342,4.164e-86,1.445e-85
-8.53,-16.332,4.164e-86,1.449e-85
-8.52,-16.322,4.164e-86,1.453e-85
-8.51,-16.311999999999998,4.164e-86,1.457e-85
-8.5,-16.302,4.164e-86,1.462e-85
-8.49,-16.292,4.164e-86,1.466e-85
-8.48,-16.282,4.164e-86,1.47e-85
-8.47,-16.272,4.164e-86,1.474e-85
-8.46,-16.262,4.164e-86,1.478e-85
-8.45,-16.252,4.164e-86,1.482e-85
-8.44,-16.241999999999997,4.164e-86,1.487e-85
-8.43,-16.232,4.164e-86,1.491e-85
-8.42,-16.222,4.164e-86,1.495e-85
-8.41,-16.212,4.164e-86,1.499e-85
-8.4,-16.201999999999998,4.164e-86,1.503e-85
-8.39,-16.192,4.164e-86,1.507e-85
-8.38,-16.182000000000002,4.164e-86,1.512e-85
-8.37,-16.171999999999997,4.164e-86,1.516e-85
-8.36,-16.162,4.164e-86,1.52e-85
-8.35,-16.152,4.164e-86,1.524e-85
-8.34,-16.142,4.164e-86,1.528e-85
-8.33,-16.131999999999998,4.164e-86,1.532e-85
-8.32,-16.122,4.164e-86,1.537e-85
-8.31,-16.112000000000002,4.164e-86,1.541e-85
-8.3,-16.102,4.164e-86,1.545e-85
-8.29,-16.092,4.164e-86,1.549e-85
-8.28,-16.082,4.164e-86,1.553e-85
-8.27,-16.072,4.164e-86,1.557e-85
-8.26,-16.061999999999998,4.164e-86,1.562e-85
-8.25,-16.052,4.164e-86,1.566e-85
-8.24,-16.042,4.164e-86,1.57e-85
-8.23,-16.032,4.164e-86,1.574e-85
-8.22,-16.022,4.164e-86,1.578e-85
-8.21,-16.012,4.164e-86,1.582e-85
-8.2,-16.002,4.164e-86,1.587e-85
-8.19,-15.991999999999999,4.164e-86,1.591e-85
-8.18,-15.982,4.164e-86,1.595e-85
-8.17,-15.972,4.164e-86,1.599e-85
-8.16,-15.962,4.164e-86,1.603e-85
-8.15,-15.952,4.164e-86,1.607e-85
-8.14,-15.942,4.164e-86,1.612e-85
-8.13,-15.932,4.164e-86,1.616e-85
-8.12,-15.921999999999999,4.164e-86,1.62e-85
-8.11,-15.911999999999999,4.164e-86,1.624e-85
-8.1,-15.902,4.164e-86,1.628e-85
-8.09,-15.892,4.164e-86,1.632e-85
-8.08,-15.882,4.164e-86,1.637e-85
-8.07,-15.872,4.164e-86,1.641e-85
-8.06,-15.862,4.164e-86,1.645e-85
-8.05,-15.852,4.164e-86,1.649e-85
-8.04,-15.841999999999999,4.164e-86,1.653e-85
-8.03,-15.831999999999999,4.164e-86,1.657e-85
-8.02,-15.822,4.164e-86,1.661e-85
-8.01,-15.812,4.164e-86,1.666e-85
-8.0,-15.802,4.164e-86,1.67e-85
-7.99,-15.792,4.164e-86,1.674e-85
-7.98,-15.782,4.164e-86,1.678e-85
-7.97,-15.771999999999998,4.164e-86,1.682e-85
-7.96,-15.762,4.164e-86,1.686e-85
-7.95,-15.751999999999999,4.164e-86,1.691e-85
-7.94,-15.742,4.164e-86,1.695e-85
-7.93,-15.732,4.164e-86,1.699e-85
-7.92,-15.722,4.164e-86,1.703e-85
-7.91,-15.712,4.164e-86,1.707e-85
-7.9,-15.702,4.164e-86,1.711e-85
-7.89,-15.692,4.164e-86,1.716e-85
-7.88,-15.681999999999999,4.164e-86,1.72e-85
-7.87,-15.672,4.164e-86,1.724e-85
-7.86,-15.661999999999999,4.164e-86,1.728e-85
-7.85,-15.652,4.164e-86,1.732e-85
-7.84,-15.642,4.164e-86,1.736e-85
-7.83,-15.632,4.164e-86,1.741e-85
-7.82,-15.622,4.164e-86,1.745e-85
-7.81,-15.611999999999998,4.164e-86,1.749e-85
-7.8,-15.602,4.164e-86,1.753e-85
-7.79,-15.591999999999999,4.164e-86,1.757e-85
-7.78,-15.582,4.164e-86,1.761e-85
-7.77,-15.572,4.164e-86,1.766e-85
-7.76,-15.562,4.164e-86,1.77e-85
-7.75,-15.552,4.164e-86,1.774e-85
-7.74,-15.542,4.164e-86,1.778e-85
-7.73,-15.532,4.164e-86,1.782e-85
-7.72,-15.521999999999998,4.164e-86,1.786e-85
-7.71,-15.512,4.164e-86,1.791e-85
-7.7,-15.501999999999999,4.164e-86,1.795e-85
-7.69,-15.492,4.164e-86,1.799e-85
-7.68,-15.482,4.164e-86,1.803e-85
-7.67,-15.472,4.164e-86,1.807e-85
-7.66,-15.462,4.164e-86,1.811e-85
-7.65,-15.452,4.164e-86,1.816e-85
-7.64,-15.442,4.164e-86,1.82e-85
-7.63,-15.431999999999999,4.164e-86,1.824e-85
-7.62,-15.422,4.164e-86,1.828e-85
-7.61,-15.411999999999999,4.164e-86,1.832e-85
-7.6,-15.402,4.164e-86,1.836e-85
-7.59,-15.392,4.164e-86,1.841e-85
-7.58,-15.382,4.164e-86,1.845e-85
-7.57,-15.372,4.164e-86,1.849e-85
-7.56,-15.361999999999998,4.164e-86,1.853e-85
-7.55,-15.352,4.164e-86,1.857e-85
-7.54,-15.341999999999999,4.164e-86,1.861e-85
-7.53,-15.332,4.164e-86,1.866e-85
-7.52,-15.322,4.164e-86,1.87e-85
-7.51,-15.312,4.164e-86,1.874e-85
-7.5,-15.302,4.164e-86,1.878e-85
-7.49,-15.292,4.164e-86,1.882e-85
-7.48,-15.282,4.164e-86,1.886e-85
-7.47,-15.271999999999998,4.164e-86,1.891e-85
-7.46,-15.262,4.164e-86,1.895e-85
-7.45,-15.251999999999999,4.164e-86,1.899e-85
-7.44,-15.242,4.164e-86,1.903e-85
-7.43,-15.232,4.164e-86,1.907e-85
-7.42,-15.222,4.164e-86,1.911e-85
-7.41,-15.212,4.164e-86,1.916e-85
-7.4,-15.202,4.164e-86,1.92e-85
-7.39,-15.192,4.164e-86,1.924e-85
-7.38,-15.181999999999999,4.164e-86,1.928e-85
-7.37,-15.172,4.164e-86,1.932e-85
-7.36,-15.161999999999999,4.164e-86,1.936e-85
-7.35,-15.152,4.164e-86,1.94e-85
-7.34,-15.142,4.164e-86,1.945e-85
-7.33,-15.132,4.164e-86,1.949e-85
-7.32,-15.122,4.164e-86,1.953e-85
-7.31,-15.111999999999998,4.164e-86,1.957e-85
-7.3,-15.102,4.164e-86,1.961e-85
-7.29,-15.091999999999999,4.164e-86,1.965e-85
-7.28,-15.082,4.164e-86,1.97e-85
-7.27,-15.072,4.164e-86,1.974e-85
