index,kx,ky,kz,band_1_eV,band_2_eV,band_3_eV,band_4_eV,band_5_eV,band_6_eV,band_7_eV,band_8_eV
57,-0.088388,-0.265165,0.441942,-3.54,0.362,2.883,4.275,9.085,9.762,11.227,12.145
58,0.0,-0.176777,0.353553,-4.429,1.914,3.491,4.777,8.654,10.108,10.404,11.709
59,0.176777,-0.176777,0.353553,-4.201,0.919,4.37,4.617,8.454,9.848,10.672,11.678
60,0.265165,-0.088388,0.265165,-4.508,1.578,3.893,5.431,8.925,9.883,10.065,12.507
61,0.353553,-0.0,0.176777,-4.429,1.914,3.491,4.777,8.654,10.108,10.404,11.709
62,0.441942,0.088388,0.088388,-3.966,1.263,3.533,3.996,7.558,9.103,12.205,12.477
63,-0.176777,-0.53033,0.707107,-3.165,0.239,2.842,3.445,8.154,8.855,11.962,14.197
64,-0.088388,-0.441942,0.618718,-2.29,-0.729,2.143,3.244,8.596,10.49,11.484,13.647
65,0.0,-0.353553,0.53033,-2.641,-0.366,1.977,3.62,9.076,10.753,11.423,13.239
66,0.088388,-0.265165,0.441942,-3.54,0.362,2.883,4.275,9.085,9.762,11.227,12.145
67,-0.441942,0.441942,-0.265165,-3.34,-0.545,3.924,4.642,8.4,9.722,10.308,13.579
68,-0.353553,0.53033,-0.353553,-3.585,-0.174,3.743,4.939,8.566,9.831,10.076,14.124
69,-0.265165,0.618718,-0.441942,-3.54,0.362,2.883,4.275,9.085,9.762,11.227,12.145
70,-0.176777,0.707107,-0.53033,-3.165,0.239,2.842,3.445,8.154,8.855,11.962,14.197
71,-0.795495,0.088388,0.088388,-2.466,-0.627,2.768,3.521,7.102,8.175,14.473,14.561
72,-0.707107,0.176777,0.0,-1.536,-1.536,2.787,2.787,8.178,8.178,14.054,14.054
73,-0.618718,0.265165,-0.088388,-2.29,-0.729,2.143,3.244,8.596,10.49,11.484,13.647
74,-0.53033,0.353553,-0.176777,-2.888,-0.583,2.754,4.045,9.274,9.341,12.119,13.329
75,-0.353553,0.353553,-0.176777,-3.585,-0.174,3.743,4.939,8.566,9.831,10.076,14.124
76,-0.265165,0.441942,-0.265165,-3.34,-0.545,3.924,4.642,8.4,9.722,10.308,13.579
77,-0.176777,0.53033,-0.353553,-2.888,-0.583,2.754,4.045,9.274,9.341,12.119,13.329
78,-0.088388,0.618718,-0.441942,-2.29,-0.729,2.143,3.244,8.596,10.49,11.484,13.647
79,-0.707107,0.0,0.176777,-1.536,-1.536,2.787,2.787,8.178,8.178,14.054,14.054
80,-0.618718,0.088388,0.088388,-2.466,-0.627,2.768,3.521,7.102,8.175,14.473,14.561
81,-0.53033,0.176777,-0.0,-3.165,0.239,2.842,3.445,8.154,8.855,11.962,14.197
82,-0.441942,0.265165,-0.088388,-3.54,0.362,2.883,4.275,9.085,9.762,11.227,12.145
83,-0.265165,0.265165,-0.088388,-4.508,1.578,3.893,5.431,8.925,9.883,10.065,12.507
84,-0.176777,0.353553,-0.176777,-4.201,0.919,4.37,4.617,8.454,9.848,10.672,11.678
85,-0.088388,0.441942,-0.265165,-3.54,0.362,2.883,4.275,9.085,9.762,11.227,12.145
86,0.0,0.53033,-0.353553,-2.641,-0.366,1.977,3.62,9.076,10.753,11.423,13.239
87,-0.618718,-0.088388,0.265165,-2.29,-0.729,2.143,3.244,8.596,10.49,11.484,13.647
88,-0.53033,0.0,0.176777,-3.165,0.239,2.842,3.445,8.154,8.855,11.962,14.197
89,-0.441942,0.088388,0.088388,-3.966,1.263,3.533,3.996,7.558,9.103,12.205,12.477
90,-0.353553,0.176777,0.0,-4.429,1.914,3.491,4.777,8.654,10.108,10.404,11.709
91,-0.176777,0.176777,0.0,-5.218,3.52,4.576,5.912,9.247,9.329,9.567,11.755
92,-0.088388,0.265165,-0.088388,-5.016,2.98,4.886,4.962,8.354,9.913,10.675,10.961
93,0.0,0.353553,-0.176777,-4.429,1.914,3.491,4.777,8.654,10.108,10.404,11.709
94,0.088388,0.441942,-0.265165,-3.54,0.362,2.883,4.275,9.085,9.762,11.227,12.145
95,-0.53033,-0.176777,0.353553,-2.888,-0.583,2.754,4.045,9.274,9.341,12.119,13.329
96,-0.441942,-0.088388,0.265165,-3.54,0.362,2.883,4.275,9.085,9.762,11.227,12.145
97,-0.353553,0.0,0.176777,-4.429,1.914,3.491,4.777,8.654,10.108,10.404,11.709
98,-0.265165,0.088388,0.088388,-5.016,2.98,4.886,4.962,8.354,9.913,10.675,10.961
99,-0.176777,0.176777,0.176777,-4.958,2.277,5.445,5.445,8.234,9.712,9.712,13.124
100,-0.088388,0.265165,0.088388,-5.016,2.98,4.886,4.962,8.354,9.913,10.675,10.961
101,0.0,0.353553,0.0,-4.676,2.687,4.314,4.314,7.337,9.342,11.964,11.964
102,0.088388,0.441942,-0.088388,-3.966,1.263,3.533,3.996,7.558,9.103,12.205,12.477
103,-0.53033,-0.176777,0.53033,-3.04,-0.179,2.67,3.999,7.727,10.658,11.952,12.127
104,-0.441942,-0.088388,0.441942,-2.836,-0.438,2.211,4.317,8.052,11.674,11.688,13.168
105,-0.353553,0.0,0.353553,-3.714,0.723,2.451,4.876,8.657,10.995,11.343,12.353
106,-0.265165,0.088388,0.265165,-4.508,1.578,3.893,5.431,8.925,9.883,10.065,12.507
107,-0.088388,0.088388,0.265165,-5.016,2.98,4.886,4.962,8.354,9.913,10.675,10.961
108,0.0,0.176777,0.176777,-5.218,3.52,4.576,5.912,9.247,9.329,9.567,11.755
109,0.088388,0.265165,0.088388,-5.016,2.98,4.886,4.962,8.354,9.913,10.675,10.961
110,0.176777,0.353553,0.0,-4.429,1.914,3.491,4.777,8.654,10.108,10.404,11.709
111,-0.441942,-0.265165,0.618718,-3.54,0.362,2.883,4.275,9.085,9.762,11.227,12.145
112,-0.353553,-0.176777,0.53033,-2.888,-0.583,2.754,4.045,9.274,9.341,12.119,13.329
113,-0.265165,-0.088388,0.441942,-3.54,0.362,2.883,4.275,9.085,9.762,11.227,12.145
114,-0.176777,0.0,0.353553,-4.429,1.914,3.491,4.777,8.654,10.108,10.404,11.709
115,0.0,0.0,0.353553,-4.676,2.687,4.314,4.314,7.337,9.342,11.964,11.964
116,0.088388,0.088388,0.265165,-5.016,2.98,4.886,4.962,8.354,9.913,10.675,10.961
117,0.176777,0.176777,0.176777,-4.958,2.277,5.445,5.445,8.234,9.712,9.712,13.124
118,0.265165,0.265165,0.088388,-4.508,1.578,3.893,5.431,8.925,9.883,10.065,12.507
119,-0.353553,-0.353553,0.707107,-3.714,0.723,2.451,4.876,8.657,10.995,11.343,12.353
120,-0.265165,-0.265165,0.618718,-2.836,-0.438,2.211,4.317,8.052,11.674,11.688,13.168
121,-0.176777,-0.176777,0.53033,-3.04,-0.179,2.67,3.999,7.727,10.658,11.952,12.127
122,-0.088388,-0.088388,0.441942,-3.966,1.263,3.533,3.996,7.558,9.103,12.205,12.477
123,0.088388,-0.088388,0.441942,-3.966,1.263,3.533,3.996,7.558,9.103,12.205,12.477
124,0.176777,-0.0,0.353553,-4.429,1.914,3.491,4.777,8.654,10.108,10.404,11.709
125,0.265165,0.088388,0.265165,-4.508,1.578,3.893,5.431,8.925,9.883,10.065,12.507
126,0.353553,0.176777,0.176777,-4.201,0.919,4.37,4.617,8.454,9.848,10.672,11.678
127,-0.265165,-0.441942,0.795495,-3.54,0.362,2.883,4.275,9.085,9.762,11.227,12.145
128,-0.176777,-0.353553,0.707107,-2.641,-0.366,1.977,3.62,9.076,10.753,11.423,13.239
129,-0.088388,-0.265165,0.618718,-2.29,-0.729,2.143,3.244,8.596,10.49,11.484,13.647
130,0.0,-0.176777,0.53033,-3.165,0.239,2.842,3.445,8.154,8.855,11.962,14.197
131,-0.53033,0.53033,-0.176777,-3.04,-0.179,2.67,3.999,7.727,10.658,11.952,12.127
132,-0.441942,0.618718,-0.265165,-3.54,0.362,2.883,4.275,9.085,9.762,11.227,12.145
133,-0.353553,0.707107,-0.353553,-3.714,0.723,2.451,4.876,8.657,10.995,11.343,12.353
134,-0.265165,0.795495,-0.441942,-3.54,0.362,2.883,4.275,9.085,9.762,11.227,12.145
135,-0.883883,0.176777,0.176777,-3.04,-0.179,2.67,3.999,7.727,10.658,11.952,12.127
136,-0.795495,0.265165,0.088388,-2.29,-0.729,2.143,3.244,8.596,10.49,11.484,13.647
137,-0.707107,0.353553,0.0,-1.45,-1.45,2.351,2.351,10.48,10.48,11.209,11.209
138,-0.618718,0.441942,-0.088388,-2.29,-0.729,2.143,3.244,8.596,10.49,11.484,13.647
139,-0.441942,0.441942,-0.088388,-2.836,-0.438,2.211,4.317,8.052,11.674,11.688,13.168
140,-0.353553,0.53033,-0.176777,-2.888,-0.583,2.754,4.045,9.274,9.341,12.119,13.329
141,-0.265165,0.618718,-0.265165,-2.836,-0.438,2.211,4.317,8.052,11.674,11.688,13.168
142,-0.176777,0.707107,-0.353553,-2.641,-0.366,1.977,3.62,9.076,10.753,11.423,13.239
143,-0.795495,0.088388,0.265165,-2.29,-0.729,2.143,3.244,8.596,10.49,11.484,13.647
